Product_Name,Product_Price,Warranty_Period(Months),Processor_Type,Screen_Size(inch),Operating_System,Color,Storage_Capacity,RAMGB,Touch_Display,Battery_Type,Storage_Type,Storage_Capacity_GB,Pixels_Width,Pixels_Height,Processor_Type_encoded,Operating_System_encoded,Color_encoded,Battery_Type_encoded,Storage_Type_encoded,kmeans
Acer Nitro V 15 ANV15-51-76QR,3699,24.0,Intel Core i7-13620H (13th Gen),15.6,Dos,Obsidian Black,1TB SSD M.2,16,False,57Wh Li-ion battery,SSD M.2,1024.0,1920,1080,72,0,46,17,14,1
HP Victus Gaming 16-r0008nx,4799,24.0,Intel Core i7-13700H (13th Gen),16.1,Dos,Mica Silver,1TB SSD M.2,32,False,"4-cell, 70 Wh Li-ion polymer",SSD M.2,1024.0,1920,1080,74,0,36,10,14,1
Apple MacBook Pro 14-Inch M3 Pro,10999,24.0,Apple M3 Pro chip,14.2,macOS Sonoma,Silver,1TB SSD,18,False,72.4-watt-hour lithium-polymer battery,SSD,1024.0,4480,2520,22,12,58,21,13,1
ASUS ROG Strix G15 G513RC-HN148,3699,24.0,AMD Ryzen 7-6800H,15.6,Dos,ECLIPSE GRAY,1TB SSD M.2,16,False,"56WHrs, 4S1P, 4-cell Li-ion",SSD M.2,1024.0,1920,1080,10,0,14,16,14,1
Yoga 9 14IAP7,5499,24.0,Intel Core i7-1260P (12th Gen),14.0,Windows 11 Home,Oatmeal,1TB SSD M.2,16,True,"4 Cell, Integrated 70Wh",SSD M.2,1024.0,3840,2400,65,6,45,8,14,1
Asus Vivobook S15 S5507QA-MA001W,4699,24.0,Snapdragon X Elite X1E 78 100,15.6,Windows 11 Home,Cool Silver,1TB SSD M.2,32,False,"3-cell Li-ion, 50WHrs, 3S1P",SSD M.2,1024.0,2880,1620,100,6,8,5,14,1
ThinkPad X1 Carbon Gen 11,4699,36.0,Intel Core i7-1355U (13th Gen),14.0,Windows 11 Professional,Deep Black,1TB SSD M.2,16,False,Integrated 57Wh,SSD M.2,1024.0,1920,1200,70,8,11,31,14,1
Asus TUF Gaming FX507ZC4-HN007,3799,24.0,Intel Core i7-12700H (12th Gen),15.6,Dos,Mecha Gray,1TB SSD M.2,16,False,"56WHrs, 4S1P, 4-cell Li-ion",SSD M.2,1024.0,1920,1080,69,0,34,16,14,1
Lenovo Legion Pro 5 16IRX9,6999,24.0,Intel Core i9-14900HX (14th Generation),16.0,Dos,Luna Grey,1TB SSD M.2,32,False,Integrated 80Wh,SSD M.2,1024.0,2560,1600,84,0,33,36,14,1
Asus ROG Strix G614JU-N3111,5299,24.0,Intel Core i7-13650HX (13th Gen),16.0,Dos,Eclipse Gray,1TB SSD M.2,16,False,"90WHrs, 4S1P, 4-cell Li-ion",SSD M.2,1024.0,1920,1200,73,0,16,22,14,1
Yoga Slim 6 14IRH8,3899,24.0,Intel Core i7-13700H (13th Gen),14.0,Windows 11 Home,Storm Grey,1TB SSD M.2,16,False,Integrated 65Wh,SSD M.2,1024.0,1920,1200,74,6,70,34,14,1
Asus TUF Gaming FX707VV-HX183,4899,24.0,Intel Core i7-13620H (13th Gen),17.3,Dos,Mecha Gray,1TB SSD M.2,16,False,"90WHrs, 4S1P, 4-cell Li-ion",SSD M.2,1024.0,1920,1080,72,0,34,22,14,1
Lenovo Legion 5 16IRX9,6499,24.0,Intel Core i9-14900HX (14th Generation),16.0,Dos,Luna Grey,1TB SSD M.2 2280 PCIe 4.0x4 NVMe,16,False,Integrated 80Wh,SSD M.2 2280 PCIe 4.0x4 NVMe,1024.0,2560,1600,84,0,33,36,17,1
Apple MacBook Pro M3,8099,24.0,Apple M3 chip,14.2,macOS Sonoma,Space Gray,1TB SSD,8,False,70-watt-hour lithium-polymer battery,SSD,1024.0,3024,1964,23,12,63,20,13,1
Legion Pro 5 16IRX8,6999,24.0,Intel Core i9-13900HX (13th Gen),16.0,Dos,Onyx Grey,1TB SSD M.2,32,False,Integrated 80Wh,SSD M.2,1024.0,2560,1600,83,0,47,36,14,1
Asus EXPERTBOOK B1500CBA-EJ0094,2349,24.0,Intel Core i7-1255U (12th Gen),15.6,Dos,Star Black,1TB SSD M.2,16,False,"3-cell Li-ion, 42WHrs, 3S1P",SSD M.2,1024.0,1920,1080,64,0,65,4,14,1
Dell G15 5530 Gaming,7399,24.0,Intel Core i9-13900HX (13th Gen),15.6,Dos,Dark Shadow Grey,2x 1TB SSD M.2,32,False,"6-Cell Battery, 86WH, integrated",SSD M.2,1024.0,1920,1080,83,0,10,18,14,1
Dell G15 5530 Gaming,5899,24.0,Intel Core i7-13650HX (13th Gen),15.6,Windows 11 Home,Dark Shadow Grey,1TB SSD M.2,16,False,"6-Cell Battery, 86WH, integrated",SSD M.2,1024.0,1920,1080,73,6,10,18,14,1
Asus TUF Gaming FA507NV-LP020,4499,24.0,AMD Ryzen 7-7735HS,15.6,Dos,Mecha Gray,1TB SSD M.2,16,False,"90WHrs, 4S1P, 4-cell Li-ion",SSD M.2,1024.0,1920,1080,13,0,34,22,14,1
HP Dragonfly 13.5 inch G4 Notebook PC (818N5EA),6999,36.0,Intel Core i7-1355U (13th Gen),13.5,Windows 11 Professional,Slate blue,1TB SSD M.2,32,False,"HP Long Life 6-cell, 68 Wh Li-ion polymer",SSD M.2,1024.0,1920,1280,70,8,61,27,14,1
HP Victus Gaming 16-s0008nx,4299,24.0,AMD Ryzen 7-7840HS,16.1,Dos,Mica Silver,1TB SSD M.2,16,False,"4-cell, 70 Wh Li-ion polymer",SSD M.2,1024.0,1920,1080,14,0,36,10,14,1
Asus TUF Gaming FA507XI-LP018,5499,24.0,AMD Ryzen 9-7940HS,15.6,Dos,Mecha Gray,1TB SSD M.2,16,False,"90WHrs, 4S1P, 4-cell Li-ion",SSD M.2,1024.0,1920,1080,17,0,34,22,14,1
Dell G15 5530 Gaming,5499,24.0,Intel Core i7-13650HX (13th Gen),15.6,Dos,Dark Shadow Grey,1TB SSD M.2,16,False,"6-Cell Battery, 86WH, integrated",SSD M.2,1024.0,1920,1080,73,0,10,18,14,1
Dell G15 5530 Gaming,6699,24.0,Intel Core i9-13900HX (13th Gen),15.6,Dos,Dark Shadow Grey,1TB SSD M.2,32,False,"6-Cell Battery, 86WH, integrated",SSD M.2,1024.0,1920,1080,83,0,10,18,14,1
ASUS ROG Strix G17 G713RC-HX040,3899,24.0,AMD Ryzen 7-6800H,17.3,Dos,ECLIPSE GRAY,1TB SSD M.2,16,False,"56WHrs, 4S1P, 4-cell Li-ion",SSD M.2,1024.0,1920,1080,10,0,14,16,14,1
Apple MacBook Pro 14-Inch M3 Pro,10999,24.0,Apple M3 Pro chip,14.2,macOS Sonoma,Space Black,1TB SSD,18,False,72.4-watt-hour lithium-polymer battery,SSD,1024.0,4480,2520,22,12,62,21,13,1
Asus TUF Gaming FX707ZC4-HX062,3149,24.0,Intel Core i5-12500H (12th Gen),17.3,Dos,Mecha Gray,1TB SSD M.2,16,False,"56WHrs, 4S1P, 4-cell Li-ion",SSD M.2,1024.0,1920,1080,51,0,34,16,14,1
Lenovo Legion 5 Pro 16IRX9,8499,24.0,Intel Core i7-14700K (14th Generation),16.0,Windows 11 Home,Onyx Grey,1TB SSD M.2,32,False,Integrated 80Wh,SSD M.2,1024.0,2560,1600,79,6,47,36,14,1
Microsoft Surface Studio,10999,24.0,Quad-core Intel Core H35 i7-11370H (11th Gen),14.4,Windows 11 Home,Platinum,2TB SSD,32,True,Up to 18 hours of typical device usage,SSD,2048.0,2400,1600,97,6,49,56,13,1
ThinkBook Plus G3 IAP,5999,36.0,Intel Core i7-12700H (12th Gen),17.3,Windows 11 Professional,Storm Grey,1TB SSD M.2,32,True,Lithium 4 Cell,SSD M.2,1024.0,3072,1440,69,8,70,40,14,1
Lenovo IdeaPad Slim 3 14IRH8,2699,24.0,Intel Core i7-13620H (13th Gen),14.0,Windows 11 Home,Arctic Grey,1TB SSD M.2,16,False,Integrated 47Wh,SSD M.2,1024.0,1920,1080,72,6,2,29,14,1
Asus TUF Gaming FX707VV4-HX033,4899,24.0,Intel Core i7-13700H (13th Gen),17.3,Dos,Mecha Gray,1TB SSD M.2,16,False,"90WHrs, 4S1P, 4-cell Li-ion",SSD M.2,1024.0,1920,1080,74,0,34,22,14,1
Yoga Book 9 13IRU8,8999,24.0,Intel Core i7-1355U (13th Gen),13.3,Windows 11 Home,Tidal Teal,1TB SSD M.2,16,True,Integrated 80Wh,SSD M.2,1024.0,2880,1800,70,6,72,36,14,1
Dell G16 7630 Gaming,7799,24.0,Intel Core i9-13900HX (13th Gen),16.0,Dos,Black,1TB SSD M.2,32,False,"6-Cell Battery, 86WH, integrated",SSD M.2,1024.0,2560,1600,83,0,5,18,14,1
ThinkPad T14s Gen 4 (Intel),2094,36.0,Intel Core i7-1355U (13th Gen),14.0,Windows 11 Professional,Deep Black,1TB SSD M.2,16,False,Integrated 57Wh,SSD M.2,1024.0,1920,1200,70,8,11,31,14,1
Apple MacBook Pro M3,8099,24.0,Apple M3 chip,14.2,macOS Sonoma,Silver,1TB SSD,8,False,70-watt-hour lithium-polymer battery,SSD,1024.0,3024,1964,23,12,58,20,13,1
Asus ROG Strix G614JI-N3082,7999,24.0,Intel Core i7-13650HX (13th Gen),16.0,Dos,Eclipse Gray,1TB SSD M.2,32,False,"90WHrs, 4S1P, 4-cell Li-ion",SSD M.2,1024.0,1920,1200,73,0,16,22,14,1
Lenovo Legion 5 16IRX9,5549,24.0,Intel Core i7-14650HX (14th Generation),16.0,Dos,Luna Grey,1TB SSD M.2,16,False,Integrated 80Wh,SSD M.2,1024.0,2560,1600,77,0,33,36,14,1
Lenovo Legion 5 16IRX9,6999,24.0,Intel Core i7-14650HX (14th Generation),16.0,Windows 11 Home,Luna Grey,1TB SSD M.2,16,False,Integrated 80Wh,SSD M.2,1024.0,2560,1600,77,6,33,36,14,1
Asus TUF Gaming FX507ZV4-LP114,4899,24.0,Intel Core i7-12700H (12th Gen),15.6,Dos,Mecha Gray,1TB SSD M.2,32,False,"90WHrs, 4S1P, 4-cell Li-ion",SSD M.2,1024.0,1920,1080,69,0,34,22,14,1
Asus Vivobook 14 Flip TP3402VA-LZ144W,3649,24.0,Intel Core i9-13900H (13th Gen),14.0,Windows 11 Home,Cool Silver,1TB SSD M.2,16,True,"3-cell Li-ion, 50WHrs, 3S1P",SSD M.2,1024.0,1920,1200,81,6,8,5,14,1
Asus TUF Gaming FX507VI-LP073,5999,24.0,Intel Core i7-13620H (13th Gen),15.6,Dos,Jaeger Gray,1TB SSD M.2,32,False,"90WHrs, 4S1P, 4-cell Li-ion",SSD M.2,1024.0,1920,1080,72,0,32,22,14,1
Asus Vivobook X1504VA-NJ107,2599,24.0,Intel Core i7-1355U (13th Gen),15.6,Dos,Cool Silver,1TB SSD M.2,16,False,"3-cell Li-ion, 42WHrs, 3S1P",SSD M.2,1024.0,1920,1080,70,0,8,4,14,1
ThinkPad X1 Yoga Gen 8,5799,36.0,Intel Core i7-1355U (13th Gen),14.0,Windows 11 Professional,Storm Grey,1TB SSD M.2,32,True,Integrated 57Wh,SSD M.2,1024.0,1920,1200,70,8,70,31,14,1
Lenovo Legion Pro 5 16IRX9,5899,24.0,Intel Core i7-14650HX (14th Generation),16.0,Dos,Luna Grey,1TB SSD M.2,16,False,Integrated 80Wh,SSD M.2,1024.0,2560,1600,77,0,33,36,14,1
Apple MacBook Pro 14-inch M3 chip,8999,24.0,Apple M3 chip,14.2,macOS Sonoma,Space Gray,1TB SSD,16,False,70-watt-hour lithium-polymer battery,SSD,1024.0,3024,1964,23,12,63,20,13,1
